home_team	season	wins	losses	ties	points_for	points_against	pre_wins	pre_losses	pre_ties	pre_points_for	pre_points_against
PHI	2002	12	4	0	415	241	1	3	0	63	65
PHI	2003	12	4	0	374	287	2	2	0	69	74
PHI	2004	13	3	0	386	260	1	3	0	80	96
PHI	2005	6	10	0	310	388	2	2	0	92	106
PHI	2006	10	6	0	398	328	2	2	0	63	54
PHI	2007	8	8	0	336	300	1	3	0	54	79
PHI	2008	9	6	1	416	289	2	2	0	81	73
PHI	2009	11	5	0	429	337	1	3	0	100	120
PHI	2010	10	6	0	439	377	2	2	0	74	87
PHI	2011	8	8	0	396	328	3	1	0	75	58
PHI	2012	4	12	0	280	444	4	0	0	106	60
PIT	2002	10	5	1	390	345	2	2	0	91	87
PIT	2003	6	10	0	300	327	1	3	0	58	82
PIT	2004	15	1	0	372	251	2	2	0	99	67
PIT	2005	11	5	0	389	258	3	1	0	86	68
PIT	2006	8	8	0	353	315	0	4	0	43	69
PIT	2007	10	6	0	393	269	3	1	0	67	39
PIT	2008	12	4	0	347	223	3	1	0	68	60
PIT	2009	9	7	0	368	324	3	1	0	71	37
PIT	2010	12	4	0	375	232	3	1	0	83	61
PIT	2011	12	4	0	325	227	3	1	0	98	63
PIT	2012	8	8	0	336	314	3	1	0	104	71
SD	2002	8	8	0	333	367	2	2	0	75	75
SD	2003	4	12	0	313	441	2	2	0	60	56
SD	2004	12	4	0	446	313	2	2	0	106	75
SD	2005	9	7	0	418	312	2	2	0	87	74
SD	2006	14	2	0	492	303	2	2	0	65	70
SD	2007	11	5	0	412	284	3	1	0	95	81
SD	2008	8	8	0	439	347	3	1	0	75	58
SD	2009	13	3	0	454	320	2	2	0	81	60
SD	2010	9	7	0	441	322	1	3	0	74	79
SD	2011	8	8	0	406	377	2	2	0	88	82
SD	2012	7	9	0	350	350	3	1	0	64	78
SEA	2002	7	9	0	355	369	1	3	0	41	97
SEA	2003	10	6	0	404	327	2	2	0	72	79
SEA	2004	9	7	0	371	373	3	1	0	73	63
SEA	2005	13	3	0	452	271	2	2	0	88	73
